,0
201015,-0.3273734597512555
201016,-0.40403520505655277
201017,-0.4553479418219494
201018,-0.5153855712918065
201019,-0.542973041801121
201020,-0.5580997514241457
201021,-0.6194673087193483
201022,-0.6978348627731225
201023,-0.7739569688849617
201024,-0.8414718102782939
201025,-0.8140893808230976
201026,-0.798601181343841
201027,-0.8109401248707259
201028,-0.8070384145777981
201029,-0.8764524800929734
201030,-0.9344868210360788
201031,-0.9670645556052466
201032,-1.0156775740545012
201033,-1.0456222118210734
201034,-1.0627199847400823
201035,-1.0506109644158448
201036,-1.0516554531475446
201037,-1.086538842263634
201038,-1.091350104964019
201039,-1.0918499992379196
201040,-1.0694201560514573
201041,-1.045393280611633
201042,-1.0557719210356942
201043,-1.0875247937302128
201044,-1.1216858618723915
201045,-1.1148979367976317
201046,-1.0946031185708613
201047,-1.1450722509881595
201048,-1.141286944921581
201049,-1.143632625813178
201050,-1.1786480352147315
201051,-1.156666192639582
201052,-1.1489288583345387
201101,-1.1466648973855837
201102,-1.141622421984527
201103,-1.1545919067323667
201104,-1.174395607661675
201105,-1.200176322394037
201106,-1.1927333131482185
201107,-1.132179989369486
201108,-1.079795265158631
201109,-1.024400726189498
201110,-0.986169903286529
201111,-0.9747775592543397
201112,-1.0335171605283389
201113,-1.0808779917303388
201114,-1.0902073230007712
201115,-1.0690303517810482
201116,-0.9724105057369337
201117,-0.8745489015953565
201118,-0.8490269351658484
201119,-0.8712832104505648
201120,-0.9375418224484955
201121,-1.0453851739604563
201122,-1.0730317128313898
201123,-1.035938535464785
201124,-0.9937433784841598
201125,-0.8904619702855944
201126,-0.8548521379375134
201127,-0.8451510698742206
201128,-0.8062589335591803
201129,-0.8080908048434012
201130,-0.7919275537780414
201131,-0.806821608420074
201132,-0.8303678872809632
201133,-0.8474588898223931
201134,-0.8594942621997987
201135,-0.8528388463752012
201136,-0.8342746371160376
201137,-0.8177388507624993
201138,-0.8089328278656132
201139,-0.7908180344140442
201140,-0.8102995962681402
201141,-0.8371398771140959
201142,-0.8408542507843605
201143,-0.8615271418042724
201144,-0.8700935366157807
201145,-0.8506881579122496
201146,-0.8415097038587922
201147,-0.967010680812635
201148,-1.090952262648644
201149,-1.2531186200738174
201150,-1.341823474081906
201151,-1.233106963400795
201152,-1.114436135410341
201201,-1.0002730374978412
201202,-0.9622379623316754
201203,-0.93641742861252
201204,-0.9870134244773965
201205,-1.0002149865210055
201206,-0.9973140979318387
201207,-1.059110955820482
201208,-1.0857006961584212
201209,-1.0623014853018835
201210,-0.9959609329431865
201211,-0.9232314234802007
201212,-0.8423091731524847
201213,-0.8342529460126793
201214,-0.8319876778844837
201215,-0.820941965782479
201216,-0.8049724780214781
201217,-0.7818772455866289
201218,-0.7921329563161208
201219,-0.7884648214495109
201220,-0.7828890288728485
201221,-0.7694261780186149
201222,-0.7388610048673766
201223,-0.7254800678066633
201224,-0.7088625549904204
